rho [kg/m3], e [J/kg], P [Pa] 
131.54207, 313132.20107, 1197512.31231 
130.97442, 313092.77669, 1195588.45846 
130.40958, 313053.27129, 1193664.60460 
129.84755, 313013.68462, 1191740.75075 
129.28831, 312974.01648, 1189816.89690 
128.73182, 312934.26660, 1187893.04304 
128.17808, 312894.43477, 1185969.18919 
127.62707, 312854.52075, 1184045.33534 
127.07877, 312814.52430, 1182121.48148 
126.53315, 312774.44517, 1180197.62763 
125.99021, 312734.28314, 1178273.77377 
125.44991, 312694.03796, 1176349.91992 
124.91225, 312653.70938, 1174426.06607 
124.37721, 312613.29717, 1172502.21221 
123.84476, 312572.80108, 1170578.35836 
123.31490, 312532.22086, 1168654.50450 
122.78760, 312491.55627, 1166730.65065 
122.26285, 312450.80706, 1164806.79680 
121.74062, 312409.97298, 1162882.94294 
121.22091, 312369.05378, 1160959.08909 
120.70369, 312328.04921, 1159035.23524 
120.18895, 312286.95901, 1157111.38138 
119.67667, 312245.78293, 1155187.52753 
119.16684, 312204.52071, 1153263.67367 
118.65944, 312163.17210, 1151339.81982 
118.15445, 312121.73685, 1149415.96597 
117.65186, 312080.21468, 1147492.11211 
117.15165, 312038.60534, 1145568.25826 
116.65380, 311996.90857, 1143644.40440 
116.15831, 311955.12410, 1141720.55055 
115.66515, 311913.25167, 1139796.69670 
115.17431, 311871.29101, 1137872.84284 
114.68577, 311829.24185, 1135948.98899 
114.19953, 311787.10394, 1134025.13514 
113.71555, 311744.87698, 1132101.28128 
113.23384, 311702.56073, 1130177.42743 
112.75438, 311660.15489, 1128253.57357 
112.27714, 311617.65920, 1126329.71972 
111.80212, 311575.07339, 1124405.86587 
111.32930, 311532.39716, 1122482.01201 
110.85867, 311489.63026, 1120558.15816 
110.39021, 311446.77239, 1118634.30430 
109.92392, 311403.82327, 1116710.45045 
109.45976, 311360.78262, 1114786.59660 
108.99775, 311317.65017, 1112862.74274 
108.53785, 311274.42561, 1110938.88889 
108.08005, 311231.10866, 1109015.03504 
107.62435, 311187.69904, 1107091.18118 
107.17072, 311144.19646, 1105167.32733 
106.71917, 311100.60062, 1103243.47347 
106.26966, 311056.91123, 1101319.61962 
105.82219, 311013.12799, 1099395.76577 
105.37675, 310969.25061, 1097471.91191 
104.93333, 310925.27880, 1095548.05806 
104.49191, 310881.21224, 1093624.20420 
104.05247, 310837.05064, 1091700.35035 
103.61501, 310792.79370, 1089776.49650 
103.17952, 310748.44112, 1087852.64264 
102.74598, 310703.99258, 1085928.78879 
102.31438, 310659.44778, 1084004.93493 
101.88471, 310614.80641, 1082081.08108 
101.45695, 310570.06816, 1080157.22723 
101.03110, 310525.23272, 1078233.37337 
100.60714, 310480.29977, 1076309.51952 
100.18506, 310435.26900, 1074385.66567 
99.76485, 310390.14009, 1072461.81181 
99.34650, 310344.91272, 1070537.95796 
98.93000, 310299.58657, 1068614.10410 
98.51533, 310254.16132, 1066690.25025 
98.10249, 310208.63664, 1064766.39640 
97.69146, 310163.01221, 1062842.54254 
97.28223, 310117.28770, 1060918.68869 
96.87480, 310071.46279, 1058994.83483 
96.46915, 310025.53713, 1057070.98098 
96.06526, 309979.51039, 1055147.12713 
95.66314, 309933.38225, 1053223.27327 
95.26276, 309887.15236, 1051299.41942 
94.86413, 309840.82039, 1049375.56557 
94.46722, 309794.38599, 1047451.71171 
94.07203, 309747.84883, 1045527.85786 
93.67854, 309701.20855, 1043604.00400 
93.28676, 309654.46482, 1041680.15015 
92.89666, 309607.61729, 1039756.29630 
92.50824, 309560.66559, 1037832.44244 
92.12148, 309513.60940, 1035908.58859 
91.73639, 309466.44834, 1033984.73473 
91.35294, 309419.18206, 1032060.88088 
90.97113, 309371.81021, 1030137.02703 
90.59095, 309324.33243, 1028213.17317 
90.21239, 309276.74836, 1026289.31932 
89.83544, 309229.05762, 1024365.46547 
89.46009, 309181.25986, 1022441.61161 
89.08633, 309133.35471, 1020517.75776 
88.71415, 309085.34180, 1018593.90390 
88.34354, 309037.22076, 1016670.05005 
87.97450, 308988.99120, 1014746.19620 
87.60701, 308940.65277, 1012822.34234 
87.24107, 308892.20507, 1010898.48849 
86.87666, 308843.64773, 1008974.63463 
86.51379, 308794.98036, 1007050.78078 
86.15243, 308746.20259, 1005126.92693 
85.79258, 308697.31402, 1003203.07307 
85.43423, 308648.31426, 1001279.21922 
85.07738, 308599.20293, 999355.36537 
84.72201, 308549.97963, 997431.51151 
84.36812, 308500.64396, 995507.65766 
84.01569, 308451.19553, 993583.80380 
83.66473, 308401.63394, 991659.94995 
83.31521, 308351.95878, 989736.09610 
82.96714, 308302.16964, 987812.24224 
82.62050, 308252.26613, 985888.38839 
82.27529, 308202.24783, 983964.53453 
81.93150, 308152.11434, 982040.68068 
81.58912, 308101.86522, 980116.82683 
81.24815, 308051.50008, 978192.97297 
80.90857, 308001.01848, 976269.11912 
80.57037, 307950.42001, 974345.26527 
80.23356, 307899.70425, 972421.41141 
79.89811, 307848.87076, 970497.55756 
79.56404, 307797.91912, 968573.70370 
79.23132, 307746.84889, 966649.84985 
78.89994, 307695.65965, 964725.99600 
78.56991, 307644.35095, 962802.14214 
78.24122, 307592.92235, 960878.28829 
77.91385, 307541.37342, 958954.43443 
77.58780, 307489.70371, 957030.58058 
77.26306, 307437.91277, 955106.72673 
76.93963, 307386.00014, 953182.87287 
76.61750, 307333.96539, 951259.01902 
76.29666, 307281.80805, 949335.16517 
75.97710, 307229.52767, 947411.31131 
75.65882, 307177.12378, 945487.45746 
75.34182, 307124.59592, 943563.60360 
75.02607, 307071.94362, 941639.74975 
74.71158, 307019.16642, 939715.89590 
74.39834, 306966.26384, 937792.04204 
