rho [kg/m3], e [J/kg], P [Pa] 
29.57975, 347682.56419, 595725.92593 
29.50566, 347632.04652, 594451.85185 
29.43163, 347581.42655, 593177.77778 
29.35767, 347530.70384, 591903.70370 
29.28377, 347479.87792, 590629.62963 
29.20993, 347428.94835, 589355.55556 
29.13615, 347377.91467, 588081.48148 
29.06244, 347326.77642, 586807.40741 
28.98879, 347275.53315, 585533.33333 
28.91520, 347224.18438, 584259.25926 
28.84168, 347172.72965, 582985.18519 
28.76821, 347121.16848, 581711.11111 
28.69481, 347069.50042, 580437.03704 
28.62147, 347017.72497, 579162.96296 
28.54819, 346965.84166, 577888.88889 
28.47497, 346913.85001, 576614.81481 
28.40182, 346861.74953, 575340.74074 
28.32873, 346809.53973, 574066.66667 
28.25569, 346757.22012, 572792.59259 
28.18272, 346704.79020, 571518.51852 
28.10981, 346652.24948, 570244.44444 
28.03696, 346599.59745, 568970.37037 
27.96417, 346546.83361, 567696.29630 
27.89144, 346493.95745, 566422.22222 
27.81877, 346440.96845, 565148.14815 
27.74617, 346387.86611, 563874.07407 
27.67362, 346334.64989, 562600.00000 
27.60113, 346281.31929, 561325.92593 
27.52870, 346227.87377, 560051.85185 
27.45634, 346174.31281, 558777.77778 
27.38403, 346120.63587, 557503.70370 
27.31178, 346066.84241, 556229.62963 
27.23959, 346012.93190, 554955.55556 
27.16746, 345958.90379, 553681.48148 
27.09539, 345904.75753, 552407.40741 
27.02338, 345850.49257, 551133.33333 
26.95143, 345796.10836, 549859.25926 
26.87954, 345741.60434, 548585.18519 
26.80771, 345686.97995, 547311.11111 
26.73593, 345632.23461, 546037.03704 
26.66421, 345577.36777, 544762.96296 
26.59256, 345522.37883, 543488.88889 
26.52096, 345467.26724, 542214.81481 
26.44941, 345412.03239, 540940.74074 
26.37793, 345356.67372, 539666.66667 
26.30651, 345301.19062, 538392.59259 
26.23514, 345245.58250, 537118.51852 
26.16383, 345189.84876, 535844.44444 
26.09258, 345133.98881, 534570.37037 
26.02138, 345078.00203, 533296.29630 
25.95025, 345021.88781, 532022.22222 
25.87917, 344965.64553, 530748.14815 
25.80814, 344909.27458, 529474.07407 
25.73718, 344852.77433, 528200.00000 
25.66627, 344796.14415, 526925.92593 
25.59542, 344739.38341, 525651.85185 
25.52462, 344682.49146, 524377.77778 
25.45388, 344625.46789, 523103.70370 
25.38320, 344568.31161, 521829.62963 
25.31258, 344511.02219, 520555.55556 
25.24201, 344453.59897, 519281.48148 
25.17150, 344396.04129, 518007.40741 
25.10104, 344338.34848, 516733.33333 
25.03064, 344280.51987, 515459.25926 
24.96029, 344222.55479, 514185.18519 
24.89001, 344164.45255, 512911.11111 
24.81977, 344106.21247, 511637.03704 
24.74959, 344047.83386, 510362.96296 
24.67947, 343989.31601, 509088.88889 
24.60941, 343930.65824, 507814.81481 
24.53939, 343871.85982, 506540.74074 
24.46944, 343812.92006, 505266.66667 
24.39954, 343753.83823, 503992.59259 
24.32969, 343694.61361, 502718.51852 
24.25990, 343635.24547, 501444.44444 
24.19016, 343575.73308, 500170.37037 
24.12048, 343516.07570, 498896.29630 
24.05085, 343456.27258, 497622.22222 
23.98128, 343396.32298, 496348.14815 
23.91176, 343336.22614, 495074.07407 
23.84229, 343275.98130, 493800.00000 
23.77288, 343215.58769, 492525.92593 
23.70352, 343155.04453, 491251.85185 
23.63422, 343094.35105, 489977.77778 
23.56497, 343033.50646, 488703.70370 
23.49577, 342972.50997, 487429.62963 
23.42663, 342911.36078, 486155.55556 
23.35754, 342850.05809, 484881.48148 
23.28850, 342788.60109, 483607.40741 
23.21952, 342726.98896, 482333.33333 
23.15059, 342665.22088, 481059.25926 
23.08171, 342603.29603, 479785.18519 
23.01289, 342541.21355, 478511.11111 
22.94412, 342478.97262, 477237.03704 
22.87540, 342416.57238, 475962.96296 
22.80674, 342354.01198, 474688.88889 
22.73812, 342291.29056, 473414.81481 
22.66956, 342228.40724, 472140.74074 
22.60105, 342165.36115, 470866.66667 
22.53260, 342102.15140, 469592.59259 
22.46419, 342038.77711, 468318.51852 
22.39584, 341975.23738, 467044.44444 
22.32754, 341911.53130, 465770.37037 
22.25929, 341847.65796, 464496.29630 
22.19109, 341783.61644, 463222.22222 
22.12295, 341719.40582, 461948.14815 
22.05485, 341655.02515, 460674.07407 
21.98681, 341590.47350, 459400.00000 
21.91882, 341525.74991, 458125.92593 
21.85088, 341460.85344, 456851.85185 
21.78299, 341395.78310, 455577.77778 
21.71515, 341330.53793, 454303.70370 
21.64736, 341265.11695, 453029.62963 
21.57963, 341199.51916, 451755.55556 
21.51194, 341133.74357, 450481.48148 
21.44431, 341067.78917, 449207.40741 
21.37672, 341001.65495, 447933.33333 
21.30919, 340935.33987, 446659.25926 
21.24170, 340868.84292, 445385.18519 
21.17427, 340802.16303, 444111.11111 
21.10688, 340735.29918, 442837.03704 
21.03955, 340668.25029, 441562.96296 
